"name","username"
"Camila Vallejo","@camila_vallejo"
"Francisco Figueroa","@panchofigueroa"
"Cristóbal Lagos","@CrisLagos"
"Camilo Ballesteros","@Sr_Ballesteros"
"Felipe Salgado","@Felipesalga"
"Constanza Nogués","@Coni_nogues"
"Damaniel Cid","@d_cid"
"Inti Alavia","@intialavia"
"Constanza Leyton","@ConstanzaLeyton"
"Juan Carlos Godoy","@Godoy_JC"
"Sebastián Farfán","@sebafarfans"
"Patricio Contreras","@Pato_Contreras_"
"Javier Fano","@Javier_Fano"
"Regner Elgueta","@RegnerElgueta"
"Giorgio Jackson","@GiorgioJackson"
"Pedro Pablo Glatz","@pepoglatz"
"Sebastián Vielmas","@sebavielmas"
"Guillermo Petersen","@guillermo_peter"
"Camilo Riffo","@camiloriffo"
"Nataly Espinoza","@NatalyEspin0za"
"Germaín Quintana","@germainquintana"
"Freddy Sandoval","@CajitadeJugo"
"Pablo Iriarte","@IriarteCORE"
"Carlos Ruminott","@carlos_ruminott"
"Josefina Pacheco","@josefinaprivas"
"Patricio Indo","@Patricio_Indo"
"Valentina Ilic","@Valeilic"
"Danae Diaz","@DanaeDiazJeria"
"Moisés Pareces","@MoisesParedesR"
"Gabriel Boric","@gabrielboric"
"Camila Vallejo","@camila_vallejo"
"Felipe Ramírez","@feliperasa"
"Camilo Ballesteros","@Sr_Ballesteros"
"Camila Carrasco","@cami_carrascoh"
"Elías Lonconado","@EliasLonconado"
"Sebastián Gamboa","@sebagamboa_"
"Yoxcy Campos","@YoxcyCampos"
"Marjorie Cuello","@marjoriecuello"
"Felipe Higueras","@pipe_higueras"
"Noam Titelman","@NoamTitelman"
"Rodrigo Echecopar","@raecheco"
"Valentina Latorre","@vlatorre"
"Recaredo Gálvez","@recarex"
"Pablo Chamorro","@pablo_fepucv"
"Juan Pablo Paonessa","@Paonessa"
"Jorge Brito","@jorbritoh"
"Alexis González","@alexis_gonzlz"
"Michell Vargas","@vargassasmay"
"Francisco Sanz","@FranciscoSainz"
"Marco Velarde","@mrcvelarde"
"Sebastián Godoy","@SebaGodoyElguet"
"Fernanda Sandoval","@FdaSandoval"
"José Ankalao","@ANKALAO"
"Pablo Millalén","@PMillalen"
"Cones Chile",@ConesChile
"Difusion Aces",@Difusion_ACES
"Cristofer Sarabia","@Cris_Sarabia"
"Eloísa González","@_EloisaGonzalez"
"Andrés Fielbaum","@AFielbaum"
"Fabián Araneda","@elperrotracio"
"Rebeca Gaete","@RebecaGaeteS"
"Sebastián Donoso","@SDonoso_"
"Camila Carrasco","@cami_carrascoh"
"Francisco Acuña","@Fco_Acunac"
"Felipe Valdevenito","@Pipovaldebenito"
"Consuelo Fontealba","@ConsuFonte"
"Cristofer Muñoz","@Chriistopher_xD"
"Ken Rivera","@krivera_uls"
"Andrés Douglas","@andresdouglasr"
"Mario Domínguez","@_marioalbertod"
"Orleans Romero","@OrleansRomero"
"Bernando Barría","@bernardo_barria"
"María Paz Ruiz","@Mapa_Ruiz_"
"Henry Varas","@henry_varas"
"Gonzalo Ubal","@palta_mayo"
"Diego Vela","@velagrau"
"Andrés Couble","@acouble"
"Daniela Ramos","@danirslz"
"Javier Miranda","@j_miranda_s"
"Miguel Peña","@geo_sur"
"Leonardo Espinosa","@leoiec"
"Felipe Vargas","@felipevargasr"
"Victoria Moreau","@unavico"
"Valentina Escobar","@Valessoncilla"
"Rodrigo Sion","@rodrigosion"
"Matías Riquelme","@chiko_maty"
"Tomás Caroca","@carocatomas"
"Boris Negrete","@BorisNegrete"
"Angela Cid","@AngelitaJaviera"
"Rodrigo Durán","@elRodrigoDuran"
"Pablo González","@pjgonzalez_"
"Daniela Poblete","@DanielaPobleteP"
"Ismael Soruco","@IsmaelSoruco"
"Älvaro Beckdorf","@alvarobeckdorf"
"José Miguel Prieto","@jmiguelprieto"
"Pablo Flores","@florespineda"
"Gonzalo Oyarzún","@goyarzun"
"Pablo Reyes","@PabloReyes_F"
"Alejandro Alegre","@aalegred"
"Sebastián Godoy","@SebaGodoyElguet"
"Javiera Jadue","@Javijadue"
"Alberto Inzulza","@InzulzaAlberto"
"Carolina Jara","@Carolina_Jarap"
"Francisco Labra","@Franciscolabrav"
"Cones Chile",@ConesChile
"Difusion Aces",@Difusion_ACES
"Moises Paredes",@MoisesParedesR
"Isabel Salgado",@_isabelsalgado
"FEUA","@FEUAntofagasta"
"FEUACH","@FeuachUACH"
"FEUAI 2012, 2013","@FEUAI_stgo"
"FEUCSC","@ucscconcepcion"
"FEUANDES","@FEUANDES"
"FEUBB","@feubb"
"FEUBO","@FEUBO_OFICIAL"
"FEUC","@feuc"
"FEUCEN","@_FEUCEN"
"FEUCM 2011","@FEUCM2011"
"FEUCN","@FEUCN"
"FEUCN-Coquimbo","@feucncqbo"
"FEUDA","@informanteUDA"
"FEUDD","@FEUDD_stgo"
"FEULS ","@Feuls"
"FEUTAL","@Feutal2013"
"FEUPLA","@Feupla"
"FEUSACH","@feusach"
"FEUSAM","@FEUSAM"
"FEUSMJMC","@feusmjmc"
"FEUST Santiago","@FeustSantiago"
"FEUTEM","@FEUTEM"
"FEUTFSM","@feutfsm"
"FEPUCV","@FEPUCV"
"FEUV ","@feuv"
"FEUV Santiago","@feuvsantiago"
"FECH","@la_fech"
"FEDEP UDP","@FEDEPUDP"
"Fel Stgo","@FEL_Stgo"
"FEC UdeC","@FECUdeC"
"FEUDM Vina","@FEUDMVina"
"FEDEUNAP","@FEDEUNAP"
"FEUFRO","@FEUFRO"
"FEVUNAB","@FEVUNAB"
"FEP Pedagógico","@FepPedagogico"
"CONFECH","@confech"
"ACES","@difusion_ACES"
"CONES","@CONESCHILE"
"Crecer UC","@creceruc"
"Estafados CORFO","@Estafados_CORFO"
"Estudiante informado","@infestudiantes"
"Izquiera Tuitera","@Izquierda_Tuit"
"Izquierda Autónoma","@izqautonoma"
"ChileMovilizado","@ChileaLaMoneda"
"Univ. Informado","@u_informado"
"#YoDemando","@DeudaEducativa"
"Privadas","@privmovilizadas"
"FEL","@FELUCHILE"
"NAU","@naupuc"
"JJCC","@jjcc_chile"
"MESUP","@mesup_Chile"
"MACE UAI","@MACEUAI"
"Solidaridad UC","@SolidaridadUC"
"Secundario.cl","@secundarios"
"Delegado Confech","@DelegConfechUC"
"UNE","@UNE_CHILE"
"MG","@mguc"
"Rdemocrática","@Rdemocratica"
